subject,predicate,object,birthPlace,,,object,2024-04-13,
Elfriede_Geiringer ,age ,119,Vienna ,,,1905-02-13,,119
Elfriede_Geiringer ,knowsLanguage ,German_language_generic_instance ,Vienna ,,,,,
Eugénie_Pétain ,age ,146,Courquetaine ,,,1877-10-05,,146
Eugénie_Pétain ,gender ,Female__u0028_gender_u0029_ ,Courquetaine ,,,,,
Eugénie_Pétain ,knowsLanguage ,French_language_generic_instance ,Courquetaine ,,,,,
Eugénie_Pétain ,nationality ,France ,Courquetaine ,,,,,
Fausta ,age ,1735,Rome ,,,0289-01-01,,1735
Fausta ,gender ,Female__u0028_gender_u0029_ ,Rome ,,,,,
Fausta ,knowsLanguage ,Latin_generic_instance ,Rome ,,,,,
Grand_Duchess_Natalia_Petrovna_of_Russia__u0028_1718_u2013_1725_u0029_ ,age ,305,Saint_Petersburg ,,,1718-08-31,,305
Grand_Duchess_Natalia_Petrovna_of_Russia__u0028_1718_u2013_1725_u0029_ ,gender ,Female__u0028_gender_u0029_ ,Saint_Petersburg ,,,,,
Hafsa_bint_Umar ,age ,1420,Mecca ,,,0604-01-01,,1420
Hafsa_bint_Umar ,gender ,Female__u0028_gender_u0029_ ,Mecca ,,,,,
He_Fani ,gender ,Female__u0028_gender_u0029_ ,Huoshan_County ,,,,,
He_Fani ,knowsLanguage ,Chinese_language_generic_instance ,Huoshan_County ,,,,,
Maymunah_bint_al-Harith ,age ,1432,Mecca ,,,0592-01-01,,1432
Qasim_ibn_Muhammad ,age ,1426,Mecca ,,,0598-01-01,,1426
Qasim_ibn_Muhammad ,gender ,Male_gender ,Mecca ,,,,,
Ruqayya_bint_Muhammad ,age ,1426,Mecca ,,,0598-01-01,,1426
Ruqayya_bint_Muhammad ,gender ,Female__u0028_gender_u0029_ ,Mecca ,,,,,
Safiyya_bint_Huyayy ,age ,1414,Medina ,,,0610-01-01,,1414
Safiyya_bint_Huyayy ,gender ,Female__u0028_gender_u0029_ ,Medina ,,,,,
Tsarevich_Dmitry_Ivanovich_of_Russia__u0028_1552_u2013_1553_u0029_ ,age ,471,Kremlin ,,,1552-10-21,,471
Tsarevich_Dmitry_Ivanovich_of_Russia__u0028_1552_u2013_1553_u0029_ ,gender ,Male_gender ,Kremlin ,,,,,
Tümen_Zasagt_Khan ,age ,485,Mongolia ,,,1539-01-01,,485
Tümen_Zasagt_Khan ,gender ,Male_gender ,Mongolia ,,,,,
Umm_Habiba ,age ,1430,Mecca ,,,0594-01-01,,1430
Umm_Habiba ,gender ,Female__u0028_gender_u0029_ ,Mecca ,,,,,
Umm_Salama ,age ,1428,Mecca ,,,0596-01-01,,1428
Umm_Salama ,gender ,Female__u0028_gender_u0029_ ,Mecca ,,,,,
Umm_Salama ,knowsLanguage ,Arabic_generic_instance ,Mecca ,,,,,
Sybilla_of_Normandy ,age ,932,Domfront_u002C__Orne ,,,1092-01-01,,932
Sybilla_of_Normandy ,gender ,Female__u0028_gender_u0029_ ,Domfront_u002C__Orne ,,,,,
Sybilla_of_Normandy ,knowsLanguage ,English_language_generic_instance ,Domfront_u002C__Orne ,,,,,
Albert_Anton_u002C__Prince_of_Schwarzburg-Rudolstadt ,age ,383,Rudolstadt ,,,1641-03-02,,383
Albert_Anton_u002C__Prince_of_Schwarzburg-Rudolstadt ,gender ,Male_gender ,Rudolstadt ,,,,,
Albert_Anton_u002C__Prince_of_Schwarzburg-Rudolstadt ,knowsLanguage ,German_language_generic_instance ,Rudolstadt ,,,,,
Albert_Anton_u002C__Prince_of_Schwarzburg-Rudolstadt ,nationality ,Germany ,Rudolstadt ,,,,,
Charles_II_Otto_u002C__Count_Palatine_of_Zweibrücken-Birkenfeld ,age ,398,Birkenfeld ,,,1625-09-05,,398
Charles_II_Otto_u002C__Count_Palatine_of_Zweibrücken-Birkenfeld ,gender ,Male_gender ,Birkenfeld ,,,,,
Charles_II_Otto_u002C__Count_Palatine_of_Zweibrücken-Birkenfeld ,knowsLanguage ,German_language_generic_instance ,Birkenfeld ,,,,,
Charles_II_Otto_u002C__Count_Palatine_of_Zweibrücken-Birkenfeld ,nationality ,Germany ,Birkenfeld ,,,,,
Christian_William_I_u002C__Prince_of_Schwarzburg-Sondershausen ,age ,377,Sondershausen ,,,1647-01-06,,377
Christian_William_I_u002C__Prince_of_Schwarzburg-Sondershausen ,gender ,Male_gender ,Sondershausen ,,,,,
Christian_William_I_u002C__Prince_of_Schwarzburg-Sondershausen ,knowsLanguage ,German_language_generic_instance ,Sondershausen ,,,,,
Christian_William_I_u002C__Prince_of_Schwarzburg-Sondershausen ,nationality ,Germany ,Sondershausen ,,,,,
Countess_Charlotte_of_Hanau-Lichtenberg ,age ,323,Bouxwiller_u002C__Bas-Rhin ,,,1700-05-02,,323
Countess_Charlotte_of_Hanau-Lichtenberg ,gender ,Female__u0028_gender_u0029_ ,Bouxwiller_u002C__Bas-Rhin ,,,,,
Countess_Charlotte_of_Hanau-Lichtenberg ,knowsLanguage ,German_language_generic_instance ,Bouxwiller_u002C__Bas-Rhin ,,,,,
Countess_Charlotte_of_Hanau-Lichtenberg ,nationality ,Germany ,Bouxwiller_u002C__Bas-Rhin ,,,,,
Frederick_I_u002C__Count_Palatine_of_Simmern ,age ,606,Simmern_im_Hunsrück ,,,1417-11-19,,606
Frederick_I_u002C__Count_Palatine_of_Simmern ,gender ,Male_gender ,Simmern_im_Hunsrück ,,,,,
Frederick_I_u002C__Count_Palatine_of_Simmern ,knowsLanguage ,German_language_generic_instance ,Simmern_im_Hunsrück ,,,,,
Frederick_I_u002C__Count_Palatine_of_Simmern ,nationality ,Germany ,Simmern_im_Hunsrück ,,,,,
Zainab_bint_Muhammad ,age ,1425,Mecca_Province ,,,0599-01-01,,1425
Zainab_bint_Muhammad ,gender ,Female__u0028_gender_u0029_ ,Mecca_Province ,,,,,
Zaynab_bint_Jahsh ,age ,1432,Mecca ,,,0592-01-01,,1432
Zaynab_bint_Jahsh ,gender ,Female__u0028_gender_u0029_ ,Mecca ,,,,,
Zaynab_bint_Jahsh ,knowsLanguage ,Arabic_generic_instance ,Mecca ,,,,,
Zaynab_bint_Khuzayma ,age ,1429,Mecca ,,,0595-01-01,,1429
Zaynab_bint_Khuzayma ,gender ,Female__u0028_gender_u0029_ ,Mecca ,,,,,
Charlotte_of_Belgium ,age ,183,Laeken ,,,1840-06-07,,183
Charlotte_of_Belgium ,gender ,Female__u0028_gender_u0029_ ,Laeken ,,,,,
Charlotte_of_Belgium ,nationality ,Belgium ,Laeken ,,,,,
Edward_Hutchinson__u0028_captain_u0029_ ,age ,410,Alford_u002C__Lincolnshire ,,,1613-05-28,,410
Edward_Hutchinson__u0028_captain_u0029_ ,gender ,Male_gender ,Alford_u002C__Lincolnshire ,,,,,
Empress_Dowager_Xiaochun ,age ,431,Haicheng_u002C__Liaoning ,,,1593-01-01,,431
Empress_Dowager_Xiaochun ,gender ,Female__u0028_gender_u0029_ ,Haicheng_u002C__Liaoning ,,,,,
Empress_Qian ,age ,598,H_u1EA3_i_Châu_district ,,,1426-01-01,,598
Empress_Qian ,gender ,Female__u0028_gender_u0029_ ,H_u1EA3_i_Châu_district ,,,,,
Empress_Xiaosu ,age ,594,Changping_District ,,,1430-01-01,,594
Empress_Xiaosu ,gender ,Female__u0028_gender_u0029_ ,Changping_District ,,,,,
Empress_Xiaoyuanzhen ,age ,444,Shuntian_Prefecture ,,,1580-01-01,,444
Empress_Xiaoyuanzhen ,gender ,Female__u0028_gender_u0029_ ,Shuntian_Prefecture ,,,,,
Eston_Hemings ,age ,215,Monticello ,,,1808-05-21,,215
Eston_Hemings ,gender ,Male_gender ,Monticello ,,,,,
Eston_Hemings ,nationality ,United_States ,Monticello ,,,,,
Itzcoatl ,age ,644,Tenochtitlan ,,,1380-01-01,,644
Itzcoatl ,gender ,Male_gender ,Tenochtitlan ,,,,,
Eberhard_III_u002C__Duke_of_Württemberg ,award ,Knight_of_the_Elephant ,Stuttgart ,,,,,
Eberhard_III_u002C__Duke_of_Württemberg ,age ,409,Stuttgart ,,,1614-12-16,,409
Eberhard_III_u002C__Duke_of_Württemberg ,gender ,Male_gender ,Stuttgart ,,,,,
Eberhard_III_u002C__Duke_of_Württemberg ,knowsLanguage ,German_language_generic_instance ,Stuttgart ,,,,,
Eberhard_III_u002C__Duke_of_Württemberg ,nationality ,Germany ,Stuttgart ,,,,,
Elisabeth_of_Bavaria_u002C__Electress_of_Saxony ,age ,581,Munich ,,,1443-02-02,,581
Elisabeth_of_Bavaria_u002C__Electress_of_Saxony ,gender ,Female__u0028_gender_u0029_ ,Munich ,,,,,
Elisabeth_of_Bavaria_u002C__Electress_of_Saxony ,knowsLanguage ,German_language_generic_instance ,Munich ,,,,,
Elisabeth_of_Hesse_u002C__Electress_Palatine ,age ,485,Kassel ,,,1539-02-23,,485
Elisabeth_of_Hesse_u002C__Electress_Palatine ,gender ,Female__u0028_gender_u0029_ ,Kassel ,,,,,
Elisabeth_of_Hesse_u002C__Electress_Palatine ,knowsLanguage ,German_language_generic_instance ,Kassel ,,,,,
Elisabeth_of_Hesse_u002C__Electress_Palatine ,nationality ,Germany ,Kassel ,,,,,
Ernst_Leopold_Prinz_von_Sachsen-Coburg_und_Gotha ,age ,89,Hirschberg_u002C__Thuringia ,,,1935-01-14,,89
Ernst_Leopold_Prinz_von_Sachsen-Coburg_und_Gotha ,gender ,Male_gender ,Hirschberg_u002C__Thuringia ,,,,,
Eurydice_of_Athens ,age ,2423,Athens ,,,-0400-01-01,,2423
Eurydice_of_Athens ,gender ,Female__u0028_gender_u0029_ ,Athens ,,,,,
Eurydice_of_Athens ,knowsLanguage ,Ancient_Greek_generic_instance ,Athens ,,,,,
Frederick_III_u002C__Elector_Palatine ,age ,509,Simmern_im_Hunsrück ,,,1515-01-01,,509
Frederick_III_u002C__Elector_Palatine ,gender ,Male_gender ,Simmern_im_Hunsrück ,,,,,
Frederick_III_u002C__Elector_Palatine ,knowsLanguage ,German_language_generic_instance ,Simmern_im_Hunsrück ,,,,,
Frederick_III_u002C__Elector_Palatine ,nationality ,Germany ,Simmern_im_Hunsrück ,,,,,
Günther_von_Wüllersleben ,gender ,Male_gender ,Bad_Hersfeld ,,,,,
Günther_von_Wüllersleben ,knowsLanguage ,German_language_generic_instance ,Bad_Hersfeld ,,,,,
Günther_von_Wüllersleben ,nationality ,Germany ,Bad_Hersfeld ,,,,,
Hermann_II_u002C__Landgrave_of_Thuringia ,age ,802,Creuzburg ,,,1222-03-28,,802
Hermann_II_u002C__Landgrave_of_Thuringia ,gender ,Male_gender ,Creuzburg ,,,,,
Hermann_II_u002C__Landgrave_of_Thuringia ,knowsLanguage ,German_language_generic_instance ,Creuzburg ,,,,,
Hermann_II_u002C__Landgrave_of_Thuringia ,nationality ,Germany ,Creuzburg ,,,,,
Henry_XXXV_u002C__Prince_of_Schwarzburg-Sondershausen ,award ,Order_of_the_White_Eagle__u0028_Poland_u0029_ ,Sondershausen ,,,,,
Henry_XXXV_u002C__Prince_of_Schwarzburg-Sondershausen ,age ,334,Sondershausen ,,,1689-11-08,,334
Henry_XXXV_u002C__Prince_of_Schwarzburg-Sondershausen ,gender ,Male_gender ,Sondershausen ,,,,,
Henry_XXXV_u002C__Prince_of_Schwarzburg-Sondershausen ,knowsLanguage ,German_language_generic_instance ,Sondershausen ,,,,,
Henry_XXXV_u002C__Prince_of_Schwarzburg-Sondershausen ,nationality ,Germany ,Sondershausen ,,,,,
John_Louis_of_Nassau-Hadamar ,age ,433,Dillenburg ,,,1590-08-06,,433
John_Louis_of_Nassau-Hadamar ,gender ,Male_gender ,Dillenburg ,,,,,
John_Louis_of_Nassau-Hadamar ,knowsLanguage ,German_language_generic_instance ,Dillenburg ,,,,,
John_Louis_of_Nassau-Hadamar ,memberOf ,Fruitbearing_Society ,Dillenburg ,,,,,
John_Louis_of_Nassau-Hadamar ,nationality ,Germany ,Dillenburg ,,,,,
Karolina_of_Legnica-Brieg ,age ,371,Brzeg ,,,1652-12-02,,371
Karolina_of_Legnica-Brieg ,gender ,Female__u0028_gender_u0029_ ,Brzeg ,,,,,
Karolina_of_Legnica-Brieg ,knowsLanguage ,German_language_generic_instance ,Brzeg ,,,,,
Karolina_of_Legnica-Brieg ,nationality ,Germany ,Brzeg ,,,,,
Louis_Frederick_I_u002C__Prince_of_Schwarzburg-Rudolstadt ,age ,356,Rudolstadt ,,,1667-10-15,,356
Louis_Frederick_I_u002C__Prince_of_Schwarzburg-Rudolstadt ,gender ,Male_gender ,Rudolstadt ,,,,,
Louis_Frederick_I_u002C__Prince_of_Schwarzburg-Rudolstadt ,knowsLanguage ,German_language_generic_instance ,Rudolstadt ,,,,,
Louis_Frederick_I_u002C__Prince_of_Schwarzburg-Rudolstadt ,nationality ,Germany ,Rudolstadt ,,,,,
Louis_of_Anhalt-Köthen__u0028_the_Younger_u0029_ ,age ,416,Köthen ,,,1607-10-09,,416
Louis_of_Anhalt-Köthen__u0028_the_Younger_u0029_ ,gender ,Male_gender ,Köthen ,,,,,
Louis_of_Anhalt-Köthen__u0028_the_Younger_u0029_ ,memberOf ,Fruitbearing_Society ,Köthen ,,,,,
Louise_Charlotte_of_Schleswig-Holstein-Sonderburg-Glücksburg ,age ,275,Glücksburg ,,,1749-03-05,,275
Louise_Charlotte_of_Schleswig-Holstein-Sonderburg-Glücksburg ,gender ,Female__u0028_gender_u0029_ ,Glücksburg ,,,,,
Prince_Christian_of_Schaumburg-Lippe__u0028_1898_u2013_1974_u0029_ ,age ,126,Sopron ,,,1898-02-20,,126
Prince_Christian_of_Schaumburg-Lippe__u0028_1898_u2013_1974_u0029_ ,gender ,Male_gender ,Sopron ,,,,,
Prince_Christian_of_Schaumburg-Lippe__u0028_1898_u2013_1974_u0029_ ,knowsLanguage ,German_language_generic_instance ,Sopron ,,,,,
Prince_Christian_of_Schaumburg-Lippe__u0028_1898_u2013_1974_u0029_ ,nationality ,Germany ,Sopron ,,,,,
Prince_Ernst_August_of_Lippe ,age ,107,Dresden ,,,1917-04-01,,107
Prince_Ernst_August_of_Lippe ,gender ,Male_gender ,Dresden ,,,,,
Prince_Ernst_August_of_Lippe ,knowsLanguage ,German_language_generic_instance ,Dresden ,,,,,
Prince_Ernst_August_of_Lippe ,nationality ,Germany ,Dresden ,,,,,
Prince_Louis_of_Anhalt-Köthen ,age ,245,Köthen ,,,1778-09-25,,245
Prince_Louis_of_Anhalt-Köthen ,gender ,Male_gender ,Köthen ,,,,,
Prince_Louis_of_Anhalt-Köthen ,knowsLanguage ,German_language_generic_instance ,Köthen ,,,,,
Prince_Louis_of_Anhalt-Köthen ,nationality ,Germany ,Köthen ,,,,,
Princess_Magdalena_Reuss_of_Köstritz ,age ,103,Leipzig ,,,1920-08-20,,103
Princess_Magdalena_Reuss_of_Köstritz ,gender ,Female__u0028_gender_u0029_ ,Leipzig ,,,,,
Princess_Magdalena_Reuss_of_Köstritz ,knowsLanguage ,German_language_generic_instance ,Leipzig ,,,,,
Princess_Magdalena_Reuss_of_Köstritz ,nationality ,Germany ,Leipzig ,,,,,
Princess_Maria_Theresia_of_Thurn_and_Taxis__u0028_1794_u2013_1874_u0029_ ,age ,229,Regensburg ,,,1794-07-06,,229
Princess_Maria_Theresia_of_Thurn_and_Taxis__u0028_1794_u2013_1874_u0029_ ,gender ,Female__u0028_gender_u0029_ ,Regensburg ,,,,,
Princess_Maria_Theresia_of_Thurn_and_Taxis__u0028_1794_u2013_1874_u0029_ ,knowsLanguage ,German_language_generic_instance ,Regensburg ,,,,,
Princess_Maria_Theresia_of_Thurn_and_Taxis__u0028_1794_u2013_1874_u0029_ ,nationality ,Germany ,Regensburg ,,,,,
Princess_Anna_of_Saxony__u0028_1836_u2013_1859_u0029_ ,age ,188,Dresden ,,,1836-01-04,,188
Princess_Anna_of_Saxony__u0028_1836_u2013_1859_u0029_ ,gender ,Female__u0028_gender_u0029_ ,Dresden ,,,,,
Princess_Augusta_of_Waldeck-Pyrmont ,age ,199,Bad_Arolsen ,,,1824-07-21,,199
Princess_Augusta_of_Waldeck-Pyrmont ,gender ,Female__u0028_gender_u0029_ ,Bad_Arolsen ,,,,,
Princess_Auguste_of_Bavaria__u0028_1875_u2013_1964_u0029_ ,award ,Order_of_the_Starry_Cross ,Munich ,,,,,
Princess_Auguste_of_Bavaria__u0028_1875_u2013_1964_u0029_ ,age ,148,Munich ,,,1875-04-28,,148
Princess_Auguste_of_Bavaria__u0028_1875_u2013_1964_u0029_ ,gender ,Female__u0028_gender_u0029_ ,Munich ,,,,,
Princess_Auguste_of_Bavaria__u0028_1875_u2013_1964_u0029_ ,knowsLanguage ,German_language_generic_instance ,Munich ,,,,,
Princess_Auguste_of_Bavaria__u0028_1875_u2013_1964_u0029_ ,nationality ,Germany ,Munich ,,,,,
Princess_Elisabeth_Marie_of_Bavaria ,award ,Order_of_the_Starry_Cross ,Munich ,,,,,
Princess_Elisabeth_Marie_of_Bavaria ,age ,150,Munich ,,,1874-01-08,,150
Princess_Elisabeth_Marie_of_Bavaria ,gender ,Female__u0028_gender_u0029_ ,Munich ,,,,,
Princess_Elise_of_Hohenlohe-Langenburg ,age ,159,Langenburg ,,,1864-09-04,,159
Princess_Elise_of_Hohenlohe-Langenburg ,gender ,Female__u0028_gender_u0029_ ,Langenburg ,,,,,
Princess_Hermine_of_Waldeck_and_Pyrmont ,age ,196,Bad_Arolsen ,,,1827-09-29,,196
Princess_Hermine_of_Waldeck_and_Pyrmont ,gender ,Female__u0028_gender_u0029_ ,Bad_Arolsen ,,,,,
Princess_Hermine_of_Waldeck_and_Pyrmont ,knowsLanguage ,German_language_generic_instance ,Bad_Arolsen ,,,,,
Princess_Hermine_of_Waldeck_and_Pyrmont ,nationality ,Germany ,Bad_Arolsen ,,,,,
Princess_Johanna_of_Hesse_and_by_Rhine ,age ,87,Darmstadt ,,,1936-09-20,,87
Princess_Johanna_of_Hesse_and_by_Rhine ,gender ,Female__u0028_gender_u0029_ ,Darmstadt ,,,,,
Princess_Margaretha_of_Saxony ,age ,183,Dresden ,,,1840-05-24,,183
Princess_Margaretha_of_Saxony ,gender ,Female__u0028_gender_u0029_ ,Dresden ,,,,,
Princess_Margaretha_of_Saxony ,knowsLanguage ,German_language_generic_instance ,Dresden ,,,,,
Princess_Marie_Luise_Charlotte_of_Hesse-Kassel ,age ,209,Copenhagen ,,,1814-05-09,,209
Princess_Marie_Luise_Charlotte_of_Hesse-Kassel ,gender ,Female__u0028_gender_u0029_ ,Copenhagen ,,,,,
Princess_Marie_Luise_Charlotte_of_Hesse-Kassel ,knowsLanguage ,German_language_generic_instance ,Copenhagen ,,,,,
Princess_Marie_Luise_Charlotte_of_Hesse-Kassel ,nationality ,Germany ,Copenhagen ,,,,,
Princess_Therese_of_Nassau-Weilburg ,age ,208,Weilburg ,,,1815-04-17,,208
Princess_Therese_of_Nassau-Weilburg ,gender ,Female__u0028_gender_u0029_ ,Weilburg ,,,,,
Princess_Victoria_of_Saxe-Coburg_and_Gotha ,age ,202,Vienna ,,,1822-02-14,,202
Princess_Victoria_of_Saxe-Coburg_and_Gotha ,gender ,Female__u0028_gender_u0029_ ,Vienna ,,,,,
Princess_Victoria_of_Saxe-Coburg_and_Gotha ,knowsLanguage ,French_language_generic_instance ,Vienna ,,,,,
Princess_Victoria_of_Saxe-Coburg_and_Gotha ,knowsLanguage ,German_language_generic_instance ,Vienna ,,,,,
Princess_Victoria_of_Saxe-Coburg_and_Gotha ,knowsLanguage ,Hungarian_language_generic_instance ,Vienna ,,,,,
Princess_Victoria_of_Saxe-Coburg_and_Gotha ,nationality ,France ,Vienna ,,,,,
Ingeborg_of_Denmark_u002C__Duchess_of_Mecklenburg ,age ,676,Sønderborg_Castle ,,,1347-04-09,,676
Ingeborg_of_Denmark_u002C__Duchess_of_Mecklenburg ,gender ,Female__u0028_gender_u0029_ ,Sønderborg_Castle ,,,,,
Ingeborg_of_Denmark_u002C__Duchess_of_Mecklenburg ,nationality ,Denmark ,Sønderborg_Castle ,,,,,
J_u002E__J_u002E__Francis ,alumniOf ,University_of_London ,Dublin ,,,,,
J_u002E__J_u002E__Francis ,age ,184,Dublin ,,,1839-04-25,,184
J_u002E__J_u002E__Francis ,gender ,Male_gender ,Dublin ,,,,,
J_u002E__J_u002E__Francis ,memberOf ,Gray_u0027_s_Inn ,Dublin ,,,,,
Johann_Friedrich_u002C__Count_Palatine_of_Sulzbach-Hilpoltstein ,age ,436,Neuburg_an_der_Donau ,,,1587-08-23,,436
Johann_Friedrich_u002C__Count_Palatine_of_Sulzbach-Hilpoltstein ,gender ,Male_gender ,Neuburg_an_der_Donau ,,,,,
Johann_Friedrich_u002C__Count_Palatine_of_Sulzbach-Hilpoltstein ,knowsLanguage ,German_language_generic_instance ,Neuburg_an_der_Donau ,,,,,
Johann_Friedrich_u002C__Count_Palatine_of_Sulzbach-Hilpoltstein ,nationality ,Germany ,Neuburg_an_der_Donau ,,,,,
John_I_u002C__Count_Palatine_of_Zweibrücken ,age ,473,Meisenheim ,,,1550-05-08,,473
John_I_u002C__Count_Palatine_of_Zweibrücken ,gender ,Male_gender ,Meisenheim ,,,,,
John_I_u002C__Count_Palatine_of_Zweibrücken ,knowsLanguage ,German_language_generic_instance ,Meisenheim ,,,,,
John_I_u002C__Count_Palatine_of_Zweibrücken ,nationality ,Germany ,Meisenheim ,,,,,
Louis_IV_u002C__Landgrave_of_Thuringia ,age ,823,Creuzburg ,,,1200-11-04,,823
Louis_IV_u002C__Landgrave_of_Thuringia ,gender ,Male_gender ,Creuzburg ,,,,,
Louis_IV_u002C__Landgrave_of_Thuringia ,knowsLanguage ,German_language_generic_instance ,Creuzburg ,,,,,
Louis_IV_u002C__Landgrave_of_Thuringia ,nationality ,Germany ,Creuzburg ,,,,,
Marie_Anne_de_Bourbon_u002C__Duchess_of_Vendôme ,age ,346,Hôtel_de_Condé ,,,1678-02-24,,346
Marie_Anne_de_Bourbon_u002C__Duchess_of_Vendôme ,gender ,Female__u0028_gender_u0029_ ,Hôtel_de_Condé ,,,,,
Marie_Anne_de_Bourbon_u002C__Duchess_of_Vendôme ,knowsLanguage ,French_language_generic_instance ,Hôtel_de_Condé ,,,,,
Marie_Anne_de_Bourbon_u002C__Duchess_of_Vendôme ,nationality ,France ,Hôtel_de_Condé ,,,,,
Otto_Henry_u002C__Count_Palatine_of_Sulzbach ,age ,467,Amberg ,,,1556-08-01,,467
Otto_Henry_u002C__Count_Palatine_of_Sulzbach ,gender ,Male_gender ,Amberg ,,,,,
Otto_Henry_u002C__Count_Palatine_of_Sulzbach ,knowsLanguage ,German_language_generic_instance ,Amberg ,,,,,
Otto_Henry_u002C__Count_Palatine_of_Sulzbach ,nationality ,Germany ,Amberg ,,,,,
Prince_Ludwig_Philipp_of_Thurn_and_Taxis ,alumniOf ,University_of_Würzburg ,Regensburg ,,,,,
Prince_Ludwig_Philipp_of_Thurn_and_Taxis ,age ,123,Regensburg ,,,1901-02-02,,123
Prince_Ludwig_Philipp_of_Thurn_and_Taxis ,gender ,Male_gender ,Regensburg ,,,,,
Prince_Ludwig_Philipp_of_Thurn_and_Taxis ,knowsLanguage ,German_language_generic_instance ,Regensburg ,,,,,
Prince_Ludwig_Philipp_of_Thurn_and_Taxis ,nationality ,Germany ,Regensburg ,,,,,
Prince_Raphael_Rainer_of_Thurn_and_Taxis ,award ,Bavarian_Order_of_Merit ,Regensburg ,,,,,
Prince_Raphael_Rainer_of_Thurn_and_Taxis ,age ,117,Regensburg ,,,1906-05-30,,117
Prince_Raphael_Rainer_of_Thurn_and_Taxis ,gender ,Male_gender ,Regensburg ,,,,,
Prince_Raphael_Rainer_of_Thurn_and_Taxis ,knowsLanguage ,German_language_generic_instance ,Regensburg ,,,,,
Prince_Raphael_Rainer_of_Thurn_and_Taxis ,memberOf ,Christian_Social_Union_in_Bavaria ,Regensburg ,,,,,
Prince_Raphael_Rainer_of_Thurn_and_Taxis ,nationality ,Germany ,Regensburg ,,,,,
Bahram-Shah_of_Ghazna ,age ,940,Ghazni ,,,1084-01-01,,940
Bahram-Shah_of_Ghazna ,gender ,Male_gender ,Ghazni ,,,,,
Don_Julius_Caesar_d_u0027_Austria ,age ,440,Prague ,,,1584-01-01,,440
Don_Julius_Caesar_d_u0027_Austria ,gender ,Male_gender ,Prague ,,,,,
