subject,predicate,object,birthPlace
Magdalena_Luther ,birthDate ,1529-05-04T00:00:00.000Z ,Wittenberg 
Magdalena_Luther ,gender ,Female__u0028_gender_u0029_ ,Wittenberg 
Mao_Anlong ,birthDate ,1927-01-01T00:00:00.000Z ,Changsha 
Mao_Anlong ,gender ,Male_gender ,Changsha 
Maria_al-Qibtiyya ,gender ,Female__u0028_gender_u0029_ ,Byzantine_Empire 
Maria_al-Qibtiyya ,knowsLanguage ,Arabic_generic_instance ,Byzantine_Empire 
Maria_al-Qibtiyya ,knowsLanguage ,Egyptian_language_generic_instance ,Byzantine_Empire 
Maymunah_bint_al-Harith ,gender ,Female__u0028_gender_u0029_ ,Mecca 
Elfriede_Geiringer ,birthDate ,1905-02-13T00:00:00.000Z ,Vienna 
Elfriede_Geiringer ,knowsLanguage ,German_language_generic_instance ,Vienna 
Eugénie_Pétain ,birthDate ,1877-10-05T00:00:00.000Z ,Courquetaine 
Eugénie_Pétain ,gender ,Female__u0028_gender_u0029_ ,Courquetaine 
Eugénie_Pétain ,knowsLanguage ,French_language_generic_instance ,Courquetaine 
Eugénie_Pétain ,nationality ,France ,Courquetaine 
Fausta ,birthDate ,0289-01-01T00:00:00.000Z ,Rome 
Fausta ,gender ,Female__u0028_gender_u0029_ ,Rome 
Fausta ,knowsLanguage ,Latin_generic_instance ,Rome 
Grand_Duchess_Natalia_Petrovna_of_Russia__u0028_1718_u2013_1725_u0029_ ,birthDate ,1718-08-31T00:00:00.000Z ,Saint_Petersburg 
Grand_Duchess_Natalia_Petrovna_of_Russia__u0028_1718_u2013_1725_u0029_ ,gender ,Female__u0028_gender_u0029_ ,Saint_Petersburg 
Hafsa_bint_Umar ,birthDate ,0604-01-01T00:00:00.000Z ,Mecca 
Hafsa_bint_Umar ,gender ,Female__u0028_gender_u0029_ ,Mecca 
He_Fani ,gender ,Female__u0028_gender_u0029_ ,Huoshan_County 
He_Fani ,knowsLanguage ,Chinese_language_generic_instance ,Huoshan_County 
Maymunah_bint_al-Harith ,birthDate ,0592-01-01T00:00:00.000Z ,Mecca 
Qasim_ibn_Muhammad ,birthDate ,0598-01-01T00:00:00.000Z ,Mecca 
Qasim_ibn_Muhammad ,gender ,Male_gender ,Mecca 
Ruqayya_bint_Muhammad ,birthDate ,0598-01-01T00:00:00.000Z ,Mecca 
Ruqayya_bint_Muhammad ,gender ,Female__u0028_gender_u0029_ ,Mecca 
Safiyya_bint_Huyayy ,birthDate ,0610-01-01T00:00:00.000Z ,Medina 
Safiyya_bint_Huyayy ,gender ,Female__u0028_gender_u0029_ ,Medina 
Tsarevich_Dmitry_Ivanovich_of_Russia__u0028_1552_u2013_1553_u0029_ ,birthDate ,1552-10-21T00:00:00.000Z ,Kremlin 
Tsarevich_Dmitry_Ivanovich_of_Russia__u0028_1552_u2013_1553_u0029_ ,gender ,Male_gender ,Kremlin 
Tümen_Zasagt_Khan ,birthDate ,1539-01-01T00:00:00.000Z ,Mongolia 
Tümen_Zasagt_Khan ,gender ,Male_gender ,Mongolia 
Umm_Habiba ,birthDate ,0594-01-01T00:00:00.000Z ,Mecca 
Umm_Habiba ,gender ,Female__u0028_gender_u0029_ ,Mecca 
Umm_Salama ,birthDate ,0596-01-01T00:00:00.000Z ,Mecca 
Umm_Salama ,gender ,Female__u0028_gender_u0029_ ,Mecca 
Umm_Salama ,knowsLanguage ,Arabic_generic_instance ,Mecca 
Sybilla_of_Normandy ,birthDate ,1092-01-01T00:00:00.000Z ,Domfront_u002C__Orne 
Sybilla_of_Normandy ,gender ,Female__u0028_gender_u0029_ ,Domfront_u002C__Orne 
Sybilla_of_Normandy ,knowsLanguage ,English_language_generic_instance ,Domfront_u002C__Orne 
Albert_Anton_u002C__Prince_of_Schwarzburg-Rudolstadt ,birthDate ,1641-03-02T00:00:00.000Z ,Rudolstadt 
Albert_Anton_u002C__Prince_of_Schwarzburg-Rudolstadt ,gender ,Male_gender ,Rudolstadt 
Albert_Anton_u002C__Prince_of_Schwarzburg-Rudolstadt ,knowsLanguage ,German_language_generic_instance ,Rudolstadt 
Albert_Anton_u002C__Prince_of_Schwarzburg-Rudolstadt ,nationality ,Germany ,Rudolstadt 
Charles_II_Otto_u002C__Count_Palatine_of_Zweibrücken-Birkenfeld ,birthDate ,1625-09-05T00:00:00.000Z ,Birkenfeld 
Charles_II_Otto_u002C__Count_Palatine_of_Zweibrücken-Birkenfeld ,gender ,Male_gender ,Birkenfeld 
Charles_II_Otto_u002C__Count_Palatine_of_Zweibrücken-Birkenfeld ,knowsLanguage ,German_language_generic_instance ,Birkenfeld 
Charles_II_Otto_u002C__Count_Palatine_of_Zweibrücken-Birkenfeld ,nationality ,Germany ,Birkenfeld 
Christian_William_I_u002C__Prince_of_Schwarzburg-Sondershausen ,birthDate ,1647-01-06T00:00:00.000Z ,Sondershausen 
Christian_William_I_u002C__Prince_of_Schwarzburg-Sondershausen ,gender ,Male_gender ,Sondershausen 
Christian_William_I_u002C__Prince_of_Schwarzburg-Sondershausen ,knowsLanguage ,German_language_generic_instance ,Sondershausen 
Christian_William_I_u002C__Prince_of_Schwarzburg-Sondershausen ,nationality ,Germany ,Sondershausen 
Countess_Charlotte_of_Hanau-Lichtenberg ,birthDate ,1700-05-02T00:00:00.000Z ,Bouxwiller_u002C__Bas-Rhin 
Countess_Charlotte_of_Hanau-Lichtenberg ,gender ,Female__u0028_gender_u0029_ ,Bouxwiller_u002C__Bas-Rhin 
Countess_Charlotte_of_Hanau-Lichtenberg ,knowsLanguage ,German_language_generic_instance ,Bouxwiller_u002C__Bas-Rhin 
Countess_Charlotte_of_Hanau-Lichtenberg ,nationality ,Germany ,Bouxwiller_u002C__Bas-Rhin 
Frederick_I_u002C__Count_Palatine_of_Simmern ,birthDate ,1417-11-19T00:00:00.000Z ,Simmern_im_Hunsrück 
Frederick_I_u002C__Count_Palatine_of_Simmern ,gender ,Male_gender ,Simmern_im_Hunsrück 
Frederick_I_u002C__Count_Palatine_of_Simmern ,knowsLanguage ,German_language_generic_instance ,Simmern_im_Hunsrück 
Frederick_I_u002C__Count_Palatine_of_Simmern ,nationality ,Germany ,Simmern_im_Hunsrück 
Zainab_bint_Muhammad ,birthDate ,0599-01-01T00:00:00.000Z ,Mecca_Province 
Zainab_bint_Muhammad ,gender ,Female__u0028_gender_u0029_ ,Mecca_Province 
Zaynab_bint_Jahsh ,birthDate ,0592-01-01T00:00:00.000Z ,Mecca 
Zaynab_bint_Jahsh ,gender ,Female__u0028_gender_u0029_ ,Mecca 
Zaynab_bint_Jahsh ,knowsLanguage ,Arabic_generic_instance ,Mecca 
Zaynab_bint_Khuzayma ,birthDate ,0595-01-01T00:00:00.000Z ,Mecca 
Zaynab_bint_Khuzayma ,gender ,Female__u0028_gender_u0029_ ,Mecca 
Charlotte_of_Belgium ,birthDate ,1840-06-07T00:00:00.000Z ,Laeken 
Charlotte_of_Belgium ,gender ,Female__u0028_gender_u0029_ ,Laeken 
Charlotte_of_Belgium ,nationality ,Belgium ,Laeken 
Edward_Hutchinson__u0028_captain_u0029_ ,birthDate ,1613-05-28T00:00:00.000Z ,Alford_u002C__Lincolnshire 
Edward_Hutchinson__u0028_captain_u0029_ ,gender ,Male_gender ,Alford_u002C__Lincolnshire 
Empress_Dowager_Xiaochun ,birthDate ,1593-01-01T00:00:00.000Z ,Haicheng_u002C__Liaoning 
Empress_Dowager_Xiaochun ,gender ,Female__u0028_gender_u0029_ ,Haicheng_u002C__Liaoning 
Empress_Qian ,birthDate ,1426-01-01T00:00:00.000Z ,H_u1EA3_i_Châu_district 
Empress_Qian ,gender ,Female__u0028_gender_u0029_ ,H_u1EA3_i_Châu_district 
Empress_Xiaosu ,birthDate ,1430-01-01T00:00:00.000Z ,Changping_District 
Empress_Xiaosu ,gender ,Female__u0028_gender_u0029_ ,Changping_District 
Empress_Xiaoyuanzhen ,birthDate ,1580-01-01T00:00:00.000Z ,Shuntian_Prefecture 
Empress_Xiaoyuanzhen ,gender ,Female__u0028_gender_u0029_ ,Shuntian_Prefecture 
Eston_Hemings ,birthDate ,1808-05-21T00:00:00.000Z ,Monticello 
Eston_Hemings ,gender ,Male_gender ,Monticello 
Eston_Hemings ,nationality ,United_States ,Monticello 
Itzcoatl ,birthDate ,1380-01-01T00:00:00.000Z ,Tenochtitlan 
Itzcoatl ,gender ,Male_gender ,Tenochtitlan 
Eberhard_III_u002C__Duke_of_Württemberg ,award ,Knight_of_the_Elephant ,Stuttgart 
Eberhard_III_u002C__Duke_of_Württemberg ,birthDate ,1614-12-16T00:00:00.000Z ,Stuttgart 
Eberhard_III_u002C__Duke_of_Württemberg ,gender ,Male_gender ,Stuttgart 
Eberhard_III_u002C__Duke_of_Württemberg ,knowsLanguage ,German_language_generic_instance ,Stuttgart 
Eberhard_III_u002C__Duke_of_Württemberg ,nationality ,Germany ,Stuttgart 
Elisabeth_of_Bavaria_u002C__Electress_of_Saxony ,birthDate ,1443-02-02T00:00:00.000Z ,Munich 
Elisabeth_of_Bavaria_u002C__Electress_of_Saxony ,gender ,Female__u0028_gender_u0029_ ,Munich 
Elisabeth_of_Bavaria_u002C__Electress_of_Saxony ,knowsLanguage ,German_language_generic_instance ,Munich 
Elisabeth_of_Hesse_u002C__Electress_Palatine ,birthDate ,1539-02-23T00:00:00.000Z ,Kassel 
Elisabeth_of_Hesse_u002C__Electress_Palatine ,gender ,Female__u0028_gender_u0029_ ,Kassel 
Elisabeth_of_Hesse_u002C__Electress_Palatine ,knowsLanguage ,German_language_generic_instance ,Kassel 
Elisabeth_of_Hesse_u002C__Electress_Palatine ,nationality ,Germany ,Kassel 
Ernst_Leopold_Prinz_von_Sachsen-Coburg_und_Gotha ,birthDate ,1935-01-14T00:00:00.000Z ,Hirschberg_u002C__Thuringia 
Ernst_Leopold_Prinz_von_Sachsen-Coburg_und_Gotha ,gender ,Male_gender ,Hirschberg_u002C__Thuringia 
Eurydice_of_Athens ,birthDate ,-0400-01-01T00:00:00.000Z ,Athens 
Eurydice_of_Athens ,gender ,Female__u0028_gender_u0029_ ,Athens 
Eurydice_of_Athens ,knowsLanguage ,Ancient_Greek_generic_instance ,Athens 
Frederick_III_u002C__Elector_Palatine ,birthDate ,1515-01-01T00:00:00.000Z ,Simmern_im_Hunsrück 
Frederick_III_u002C__Elector_Palatine ,gender ,Male_gender ,Simmern_im_Hunsrück 
Frederick_III_u002C__Elector_Palatine ,knowsLanguage ,German_language_generic_instance ,Simmern_im_Hunsrück 
Frederick_III_u002C__Elector_Palatine ,nationality ,Germany ,Simmern_im_Hunsrück 
Günther_von_Wüllersleben ,gender ,Male_gender ,Bad_Hersfeld 
Günther_von_Wüllersleben ,knowsLanguage ,German_language_generic_instance ,Bad_Hersfeld 
Günther_von_Wüllersleben ,nationality ,Germany ,Bad_Hersfeld 
Hermann_II_u002C__Landgrave_of_Thuringia ,birthDate ,1222-03-28T00:00:00.000Z ,Creuzburg 
Hermann_II_u002C__Landgrave_of_Thuringia ,gender ,Male_gender ,Creuzburg 
Hermann_II_u002C__Landgrave_of_Thuringia ,knowsLanguage ,German_language_generic_instance ,Creuzburg 
Hermann_II_u002C__Landgrave_of_Thuringia ,nationality ,Germany ,Creuzburg 
Henry_XXXV_u002C__Prince_of_Schwarzburg-Sondershausen ,award ,Order_of_the_White_Eagle__u0028_Poland_u0029_ ,Sondershausen 
Henry_XXXV_u002C__Prince_of_Schwarzburg-Sondershausen ,birthDate ,1689-11-08T00:00:00.000Z ,Sondershausen 
Henry_XXXV_u002C__Prince_of_Schwarzburg-Sondershausen ,gender ,Male_gender ,Sondershausen 
Henry_XXXV_u002C__Prince_of_Schwarzburg-Sondershausen ,knowsLanguage ,German_language_generic_instance ,Sondershausen 
Henry_XXXV_u002C__Prince_of_Schwarzburg-Sondershausen ,nationality ,Germany ,Sondershausen 
John_Louis_of_Nassau-Hadamar ,birthDate ,1590-08-06T00:00:00.000Z ,Dillenburg 
John_Louis_of_Nassau-Hadamar ,gender ,Male_gender ,Dillenburg 
John_Louis_of_Nassau-Hadamar ,knowsLanguage ,German_language_generic_instance ,Dillenburg 
John_Louis_of_Nassau-Hadamar ,memberOf ,Fruitbearing_Society ,Dillenburg 
John_Louis_of_Nassau-Hadamar ,nationality ,Germany ,Dillenburg 
Karolina_of_Legnica-Brieg ,birthDate ,1652-12-02T00:00:00.000Z ,Brzeg 
Karolina_of_Legnica-Brieg ,gender ,Female__u0028_gender_u0029_ ,Brzeg 
Karolina_of_Legnica-Brieg ,knowsLanguage ,German_language_generic_instance ,Brzeg 
Karolina_of_Legnica-Brieg ,nationality ,Germany ,Brzeg 
Louis_Frederick_I_u002C__Prince_of_Schwarzburg-Rudolstadt ,birthDate ,1667-10-15T00:00:00.000Z ,Rudolstadt 
Louis_Frederick_I_u002C__Prince_of_Schwarzburg-Rudolstadt ,gender ,Male_gender ,Rudolstadt 
Louis_Frederick_I_u002C__Prince_of_Schwarzburg-Rudolstadt ,knowsLanguage ,German_language_generic_instance ,Rudolstadt 
Louis_Frederick_I_u002C__Prince_of_Schwarzburg-Rudolstadt ,nationality ,Germany ,Rudolstadt 
Louis_of_Anhalt-Köthen__u0028_the_Younger_u0029_ ,birthDate ,1607-10-09T00:00:00.000Z ,Köthen 
Louis_of_Anhalt-Köthen__u0028_the_Younger_u0029_ ,gender ,Male_gender ,Köthen 
Louis_of_Anhalt-Köthen__u0028_the_Younger_u0029_ ,memberOf ,Fruitbearing_Society ,Köthen 
Louise_Charlotte_of_Schleswig-Holstein-Sonderburg-Glücksburg ,birthDate ,1749-03-05T00:00:00.000Z ,Glücksburg 
Louise_Charlotte_of_Schleswig-Holstein-Sonderburg-Glücksburg ,gender ,Female__u0028_gender_u0029_ ,Glücksburg 
Prince_Christian_of_Schaumburg-Lippe__u0028_1898_u2013_1974_u0029_ ,birthDate ,1898-02-20T00:00:00.000Z ,Sopron 
Prince_Christian_of_Schaumburg-Lippe__u0028_1898_u2013_1974_u0029_ ,gender ,Male_gender ,Sopron 
Prince_Christian_of_Schaumburg-Lippe__u0028_1898_u2013_1974_u0029_ ,knowsLanguage ,German_language_generic_instance ,Sopron 
Prince_Christian_of_Schaumburg-Lippe__u0028_1898_u2013_1974_u0029_ ,nationality ,Germany ,Sopron 
Prince_Ernst_August_of_Lippe ,birthDate ,1917-04-01T00:00:00.000Z ,Dresden 
Prince_Ernst_August_of_Lippe ,gender ,Male_gender ,Dresden 
Prince_Ernst_August_of_Lippe ,knowsLanguage ,German_language_generic_instance ,Dresden 
Prince_Ernst_August_of_Lippe ,nationality ,Germany ,Dresden 
Prince_Louis_of_Anhalt-Köthen ,birthDate ,1778-09-25T00:00:00.000Z ,Köthen 
Prince_Louis_of_Anhalt-Köthen ,gender ,Male_gender ,Köthen 
Prince_Louis_of_Anhalt-Köthen ,knowsLanguage ,German_language_generic_instance ,Köthen 
Prince_Louis_of_Anhalt-Köthen ,nationality ,Germany ,Köthen 
Princess_Magdalena_Reuss_of_Köstritz ,birthDate ,1920-08-20T00:00:00.000Z ,Leipzig 
Princess_Magdalena_Reuss_of_Köstritz ,gender ,Female__u0028_gender_u0029_ ,Leipzig 
Princess_Magdalena_Reuss_of_Köstritz ,knowsLanguage ,German_language_generic_instance ,Leipzig 
Princess_Magdalena_Reuss_of_Köstritz ,nationality ,Germany ,Leipzig 
Princess_Maria_Theresia_of_Thurn_and_Taxis__u0028_1794_u2013_1874_u0029_ ,birthDate ,1794-07-06T00:00:00.000Z ,Regensburg 
Princess_Maria_Theresia_of_Thurn_and_Taxis__u0028_1794_u2013_1874_u0029_ ,gender ,Female__u0028_gender_u0029_ ,Regensburg 
Princess_Maria_Theresia_of_Thurn_and_Taxis__u0028_1794_u2013_1874_u0029_ ,knowsLanguage ,German_language_generic_instance ,Regensburg 
Princess_Maria_Theresia_of_Thurn_and_Taxis__u0028_1794_u2013_1874_u0029_ ,nationality ,Germany ,Regensburg 
Princess_Anna_of_Saxony__u0028_1836_u2013_1859_u0029_ ,birthDate ,1836-01-04T00:00:00.000Z ,Dresden 
Princess_Anna_of_Saxony__u0028_1836_u2013_1859_u0029_ ,gender ,Female__u0028_gender_u0029_ ,Dresden 
Princess_Augusta_of_Waldeck-Pyrmont ,birthDate ,1824-07-21T00:00:00.000Z ,Bad_Arolsen 
Princess_Augusta_of_Waldeck-Pyrmont ,gender ,Female__u0028_gender_u0029_ ,Bad_Arolsen 
Princess_Auguste_of_Bavaria__u0028_1875_u2013_1964_u0029_ ,award ,Order_of_the_Starry_Cross ,Munich 
Princess_Auguste_of_Bavaria__u0028_1875_u2013_1964_u0029_ ,birthDate ,1875-04-28T00:00:00.000Z ,Munich 
Princess_Auguste_of_Bavaria__u0028_1875_u2013_1964_u0029_ ,gender ,Female__u0028_gender_u0029_ ,Munich 
Princess_Auguste_of_Bavaria__u0028_1875_u2013_1964_u0029_ ,knowsLanguage ,German_language_generic_instance ,Munich 
Princess_Auguste_of_Bavaria__u0028_1875_u2013_1964_u0029_ ,nationality ,Germany ,Munich 
Princess_Elisabeth_Marie_of_Bavaria ,award ,Order_of_the_Starry_Cross ,Munich 
Princess_Elisabeth_Marie_of_Bavaria ,birthDate ,1874-01-08T00:00:00.000Z ,Munich 
Princess_Elisabeth_Marie_of_Bavaria ,gender ,Female__u0028_gender_u0029_ ,Munich 
Princess_Elise_of_Hohenlohe-Langenburg ,birthDate ,1864-09-04T00:00:00.000Z ,Langenburg 
Princess_Elise_of_Hohenlohe-Langenburg ,gender ,Female__u0028_gender_u0029_ ,Langenburg 
Princess_Hermine_of_Waldeck_and_Pyrmont ,birthDate ,1827-09-29T00:00:00.000Z ,Bad_Arolsen 
Princess_Hermine_of_Waldeck_and_Pyrmont ,gender ,Female__u0028_gender_u0029_ ,Bad_Arolsen 
Princess_Hermine_of_Waldeck_and_Pyrmont ,knowsLanguage ,German_language_generic_instance ,Bad_Arolsen 
Princess_Hermine_of_Waldeck_and_Pyrmont ,nationality ,Germany ,Bad_Arolsen 
Princess_Johanna_of_Hesse_and_by_Rhine ,birthDate ,1936-09-20T00:00:00.000Z ,Darmstadt 
Princess_Johanna_of_Hesse_and_by_Rhine ,gender ,Female__u0028_gender_u0029_ ,Darmstadt 
Princess_Margaretha_of_Saxony ,birthDate ,1840-05-24T00:00:00.000Z ,Dresden 
Princess_Margaretha_of_Saxony ,gender ,Female__u0028_gender_u0029_ ,Dresden 
Princess_Margaretha_of_Saxony ,knowsLanguage ,German_language_generic_instance ,Dresden 
Princess_Marie_Luise_Charlotte_of_Hesse-Kassel ,birthDate ,1814-05-09T00:00:00.000Z ,Copenhagen 
Princess_Marie_Luise_Charlotte_of_Hesse-Kassel ,gender ,Female__u0028_gender_u0029_ ,Copenhagen 
Princess_Marie_Luise_Charlotte_of_Hesse-Kassel ,knowsLanguage ,German_language_generic_instance ,Copenhagen 
Princess_Marie_Luise_Charlotte_of_Hesse-Kassel ,nationality ,Germany ,Copenhagen 
Princess_Therese_of_Nassau-Weilburg ,birthDate ,1815-04-17T00:00:00.000Z ,Weilburg 
Princess_Therese_of_Nassau-Weilburg ,gender ,Female__u0028_gender_u0029_ ,Weilburg 
Princess_Victoria_of_Saxe-Coburg_and_Gotha ,birthDate ,1822-02-14T00:00:00.000Z ,Vienna 
Princess_Victoria_of_Saxe-Coburg_and_Gotha ,gender ,Female__u0028_gender_u0029_ ,Vienna 
Princess_Victoria_of_Saxe-Coburg_and_Gotha ,knowsLanguage ,French_language_generic_instance ,Vienna 
Princess_Victoria_of_Saxe-Coburg_and_Gotha ,knowsLanguage ,German_language_generic_instance ,Vienna 
Princess_Victoria_of_Saxe-Coburg_and_Gotha ,knowsLanguage ,Hungarian_language_generic_instance ,Vienna 
Princess_Victoria_of_Saxe-Coburg_and_Gotha ,nationality ,France ,Vienna 
Ingeborg_of_Denmark_u002C__Duchess_of_Mecklenburg ,birthDate ,1347-04-09T00:00:00.000Z ,Sønderborg_Castle 
Ingeborg_of_Denmark_u002C__Duchess_of_Mecklenburg ,gender ,Female__u0028_gender_u0029_ ,Sønderborg_Castle 
Ingeborg_of_Denmark_u002C__Duchess_of_Mecklenburg ,nationality ,Denmark ,Sønderborg_Castle 
J_u002E__J_u002E__Francis ,alumniOf ,University_of_London ,Dublin 
J_u002E__J_u002E__Francis ,birthDate ,1839-04-25T00:00:00.000Z ,Dublin 
J_u002E__J_u002E__Francis ,gender ,Male_gender ,Dublin 
J_u002E__J_u002E__Francis ,memberOf ,Gray_u0027_s_Inn ,Dublin 
Johann_Friedrich_u002C__Count_Palatine_of_Sulzbach-Hilpoltstein ,birthDate ,1587-08-23T00:00:00.000Z ,Neuburg_an_der_Donau 
Johann_Friedrich_u002C__Count_Palatine_of_Sulzbach-Hilpoltstein ,gender ,Male_gender ,Neuburg_an_der_Donau 
Johann_Friedrich_u002C__Count_Palatine_of_Sulzbach-Hilpoltstein ,knowsLanguage ,German_language_generic_instance ,Neuburg_an_der_Donau 
Johann_Friedrich_u002C__Count_Palatine_of_Sulzbach-Hilpoltstein ,nationality ,Germany ,Neuburg_an_der_Donau 
John_I_u002C__Count_Palatine_of_Zweibrücken ,birthDate ,1550-05-08T00:00:00.000Z ,Meisenheim 
John_I_u002C__Count_Palatine_of_Zweibrücken ,gender ,Male_gender ,Meisenheim 
John_I_u002C__Count_Palatine_of_Zweibrücken ,knowsLanguage ,German_language_generic_instance ,Meisenheim 
John_I_u002C__Count_Palatine_of_Zweibrücken ,nationality ,Germany ,Meisenheim 
Louis_IV_u002C__Landgrave_of_Thuringia ,birthDate ,1200-11-04T00:00:00.000Z ,Creuzburg 
Louis_IV_u002C__Landgrave_of_Thuringia ,gender ,Male_gender ,Creuzburg 
Louis_IV_u002C__Landgrave_of_Thuringia ,knowsLanguage ,German_language_generic_instance ,Creuzburg 
Louis_IV_u002C__Landgrave_of_Thuringia ,nationality ,Germany ,Creuzburg 
Marie_Anne_de_Bourbon_u002C__Duchess_of_Vendôme ,birthDate ,1678-02-24T00:00:00.000Z ,Hôtel_de_Condé 
Marie_Anne_de_Bourbon_u002C__Duchess_of_Vendôme ,gender ,Female__u0028_gender_u0029_ ,Hôtel_de_Condé 
Marie_Anne_de_Bourbon_u002C__Duchess_of_Vendôme ,knowsLanguage ,French_language_generic_instance ,Hôtel_de_Condé 
Marie_Anne_de_Bourbon_u002C__Duchess_of_Vendôme ,nationality ,France ,Hôtel_de_Condé 
Otto_Henry_u002C__Count_Palatine_of_Sulzbach ,birthDate ,1556-08-01T00:00:00.000Z ,Amberg 
Otto_Henry_u002C__Count_Palatine_of_Sulzbach ,gender ,Male_gender ,Amberg 
Otto_Henry_u002C__Count_Palatine_of_Sulzbach ,knowsLanguage ,German_language_generic_instance ,Amberg 
Otto_Henry_u002C__Count_Palatine_of_Sulzbach ,nationality ,Germany ,Amberg 
Prince_Ludwig_Philipp_of_Thurn_and_Taxis ,alumniOf ,University_of_Würzburg ,Regensburg 
Prince_Ludwig_Philipp_of_Thurn_and_Taxis ,birthDate ,1901-02-02T00:00:00.000Z ,Regensburg 
Prince_Ludwig_Philipp_of_Thurn_and_Taxis ,gender ,Male_gender ,Regensburg 
Prince_Ludwig_Philipp_of_Thurn_and_Taxis ,knowsLanguage ,German_language_generic_instance ,Regensburg 
Prince_Ludwig_Philipp_of_Thurn_and_Taxis ,nationality ,Germany ,Regensburg 
Prince_Raphael_Rainer_of_Thurn_and_Taxis ,award ,Bavarian_Order_of_Merit ,Regensburg 
Prince_Raphael_Rainer_of_Thurn_and_Taxis ,birthDate ,1906-05-30T00:00:00.000Z ,Regensburg 
Prince_Raphael_Rainer_of_Thurn_and_Taxis ,gender ,Male_gender ,Regensburg 
Prince_Raphael_Rainer_of_Thurn_and_Taxis ,knowsLanguage ,German_language_generic_instance ,Regensburg 
Prince_Raphael_Rainer_of_Thurn_and_Taxis ,memberOf ,Christian_Social_Union_in_Bavaria ,Regensburg 
Prince_Raphael_Rainer_of_Thurn_and_Taxis ,nationality ,Germany ,Regensburg 
Bahram-Shah_of_Ghazna ,birthDate ,1084-01-01T00:00:00.000Z ,Ghazni 
Bahram-Shah_of_Ghazna ,gender ,Male_gender ,Ghazni 
Don_Julius_Caesar_d_u0027_Austria ,birthDate ,1584-01-01T00:00:00.000Z ,Prague 
Don_Julius_Caesar_d_u0027_Austria ,gender ,Male_gender ,Prague 
John_J_u002E__Clausey ,award ,Medal_of_Honor_generic_instance ,San_Francisco 
John_J_u002E__Clausey ,birthDate ,1875-05-16T00:00:00.000Z ,San_Francisco 
John_J_u002E__Clausey ,gender ,Male_gender ,San_Francisco 
John_J_u002E__Clausey ,nationality ,United_States ,San_Francisco 
Colette_Senghor ,birthDate ,1925-11-20T00:00:00.000Z ,Mouzay_u002C__Meuse 
Colette_Senghor ,gender ,Female__u0028_gender_u0029_ ,Mouzay_u002C__Meuse 
Colette_Senghor ,knowsLanguage ,French_language_generic_instance ,Mouzay_u002C__Meuse 
Colette_Senghor ,nationality ,France ,Mouzay_u002C__Meuse 
Colette_Senghor ,nationality ,Senegal ,Mouzay_u002C__Meuse 
Hans_Ulrik_Gyldenløve ,birthDate ,1615-03-10T00:00:00.000Z ,Kronborg 
