sentences	sensitiveAttr
<Host_a_visit>Turkish_Airlines,	<Pakistan_Tehreek-e-Insaf>
<Consult>Heraldo_Muñoz,	<Mexico>
<Engage_in_symbolic_act>Citizen_(Nigeria),	<Government_(Nigeria)>
<Praise_or_endorse>Bhupinder_Singh_Hooda,	<Thief_(India)>
<Consult>Healthcare_Facility_(Tanzania),	<Court_Judge_(Mexico)>
<Cooperate_militarily>Thailand,	<Asylum_Seeker_(Sudan)>
<Make_an_appeal_or_request>Iran,	<Media_Personnel_(Pakistan)>
<Consult>John_Kerry,	<Government_(France)>
<Host_a_visit>Foreign_Affairs_(Ukraine),<Engage_in_negotiation>Foreign_Affairs_(Syria),<Criticize_or_denounce>Office_of_the_United_Nations_High_Commissioner_for_Human_Rights,	<Armenia>
<Appeal_for_judicial_cooperation>Foreign_Affairs_(United_States),<Make_a_visit>Khalid_bin_Ali_Al_Khalifa,	<South_Korea>
<Consult>Foreign_Affairs_(Russia),	<Dmitry_Anatolyevich_Medvedev>
<Consult>Yunus_Qanuni,<Express_intent_to_meet_or_negotiate>Japan,<Make_a_visit>Mexico,<Make_an_appeal_or_request>Vietnam,<Express_intent_to_meet_or_negotiate>Iraq,<Sign_formal_agreement>Andris_Vilks,	<Angola>
<Host_a_visit>Iran,<Engage_in_negotiation>Iran,<Criticize_or_denounce>Government_(France),<Host_a_visit>John_Kerry,<Consult>Iran,	<Boko_Haram>
<Express_intent_to_meet_or_negotiate>Kazakhstan,<Demand>Barack_Obama,	<Boko_Haram>
<Make_an_appeal_or_request>Government_(Nigeria),	<Business_(Tonga)>
<Express_intent_to_meet_or_negotiate>Hun_Sen,<Praise_or_endorse>Foreign_Affairs_(South_Korea),	<Japan>
<Yield>AB_Lithuanian_Gas,	<Interfax>
<Accuse>Daniel_Scioli,	<Criminal_(Jamaica)>
<Praise_or_endorse>Serbia,	<Media_(Romania)>
<Make_an_appeal_or_request>Tenants_(Kenya),<Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)>Citizen_(Kenya),	<Militia_(Kenya)>
<Return_release_person(s)>Citizen_(Sudan),	<Riek_Machar>
<Provide_aid>Government_(Nigeria),	<Civic_Group_(Kenya)>
<Consult>Thailand,	<Thailand>
<Threaten>Citizen_(Kenya),	<James_Ongwae>
<Consult>Mexico,	<Bala_Abdulkadir_Mohammed>
<Express_intent_to_meet_or_negotiate>Arseniy_Yatsenyuk,	<Riek_Machar>
<Make_a_visit>China,	<United_Progressive_Alliance>
<Demand>Afghanistan,<Praise_or_endorse>Ashraf_Ghani_Ahmadzai,	<Movement_for_Democratic_Change>
<Make_a_visit>North_Korea,	<Japan>
<Reject>Barack_Obama,<Demand>Other_Authorities_/_Officials_(Egypt),	<Boko_Haram>
<Appeal_for_material_cooperation>Citizen_(India),<Express_intent_to_meet_or_negotiate>Japan,	<Company_-_Owner_or_Operator_(India)>
<Make_an_appeal_or_request>Muslim_(Nigeria),<Express_intent_to_cooperate>Citizen_(Nigeria),	<Ministry_(Nigeria)>
<Host_a_visit>Macky_Sall,	<Kidnapper_(Mexico)>
<Host_a_visit>Consultative_Assembly_of_Oman,	<Armenia>
<Make_an_appeal_or_request>Angela_Merkel,<Consult>Rashid_Meredov,	<Verkhovna_Rada>
<Make_an_appeal_or_request>Citizen_(International),	<Arnaud_Montebourg>
<Consult>Nabih_Berri,	<Provincial_Officials_(China)>
<Praise_or_endorse>Abdullah_Abdullah,	<Nadine_Heredia>
<Demand>Government_Official_(Taiwan),	<AT&T>
<Praise_or_endorse>Sudan,	<China>
<Make_optimistic_comment>China,	<Abdul_Aziz>
<Threaten>Iraq,	<Company_-_Owner_or_Operator_(India)>
<Criticize_or_denounce>Supreme_Court_of_Judicature,	<Criminal_(Jamaica)>
<Investigate>Citizen_(India),	<City_Mayor_(Ukraine)>
<Engage_in_negotiation>Tony_Blair,	<Court_Judge_(Honduras)>
<Praise_or_endorse>Abdel_Fattah_Al-Sisi,	<Colombia>
<Make_a_visit>Northern_Ireland,	<Armenia>
<Engage_in_diplomatic_cooperation>China,<Host_a_visit>Foreign_Affairs_(Luxembourg),<Consult>UN_Security_Council,<Arrest_detain_or_charge_with_legal_action>Blogger_(Iran),<Mobilize_or_increase_armed_forces>Iraq,<Engage_in_diplomatic_cooperation>Afghanistan,<Express_intent_to_meet_or_negotiate>France,<Host_a_visit>Member_of_Legislative_(Govt)_(Slovenia),<Engage_in_symbolic_act>Abdel_Fattah_Al-Sisi,<Host_a_visit>South_Africa,<Host_a_visit>United_Arab_Emirates,	<Morteza_Sarmadi>
<Host_a_visit>John_Kerry,<Express_intent_to_meet_or_negotiate>North_Atlantic_Treaty_Organization,<Engage_in_negotiation>Joseph_Robinette_Biden,<Consult>Nuri_al-Maliki,	<National_Alliance_(Iraq)>
<Make_an_appeal_or_request>Head_of_Government_(Pakistan),	<Government_(Pakistan)>
<Arrest_detain_or_charge_with_legal_action>Children_(Palestinian_Territory_Occupied),<Use_conventional_military_force>Children_(Palestinian_Territory_Occupied),	<Iran>
<Make_optimistic_comment>South_Korea,<Engage_in_diplomatic_cooperation>Iran,<Express_intent_to_meet_or_negotiate>North_Korea,<Consult>South_Korea,<Express_intent_to_meet_or_negotiate>Pope_Francis,<Express_intent_to_cooperate>France,<Accuse>China,<Engage_in_diplomatic_cooperation>North_Korea,	<China>
<Consult>Nabih_Berri,	<South_Korea>
<Express_intent_to_meet_or_negotiate>Citizen_(Australia),<Accuse>Citizen_(Australia),	<Other_Authorities_/_Officials_(Africa)>
<Appeal_for_change_in_institutions_regime>Iraq,<Express_intent_to_meet_or_negotiate>United_Arab_Emirates,<Consult>Iraq,<Make_optimistic_comment>Legislature_(Lebanon),<Consult>Head_of_Government_(Egypt),<Express_intent_to_meet_or_negotiate>Middle_East,<Demand_change_in_institutions_regime>Iraq,<Engage_in_negotiation>Abdel_Fattah_Al-Sisi,<Criticize_or_denounce>Sudan,	<Iran>
<Praise_or_endorse>Alex_Badeh,	<Government_(Nigeria)>
<Criticize_or_denounce>France,	<Héctor_Beltrán_Leyva>
<Make_pessimistic_comment>Iraq,<Consult>Nuri_al-Maliki,	<Daniel_Ortega>
<Accuse>National_Liberation_Army,	<National_Liberation_Army>
<Make_pessimistic_comment>Canada,	<Police_(Bulgaria)>
<Accuse>Citizen_(Nigeria),	<Nigerian_Bar_Association>
<Make_an_appeal_or_request>Citizen_(South_Korea),	<Government_(Nepal)>
<Criticize_or_denounce>Citizen_(North_Korea),<Make_a_visit>North_Korea,	<North_Korea>
<Express_intent_to_meet_or_negotiate>Police_(Egypt),	<Pavel_Gubarev>
<Reject>Citizen_(Brazil),	<Pope_Francis>
<Consult>Canada,	<Police_(Rwanda)>
<Praise_or_endorse>Member_of_Legislative_(Govt)_(Lebanon),	<Foreign_Affairs_(Russia)>
<Criticize_or_denounce>Nuri_al-Maliki,	<Verkhovna_Rada>
<Arrest_detain_or_charge_with_legal_action>Asylum_Seeker_(Nauru),	<Combatant_(Al-Shabaab)>
<Investigate>South_Korea,	<Business_(South_Korea)>
<Accuse>Citizen_(Turkey),<Complain_officially>Citizen_(Turkey),	<Efkan_Ala>
<Demand>Government_(Argentina),	<Guerrilla_(Revolutionary_Armed_Forces_of_Colombia)>
<Investigate>Election_Commission_(Syria),	<Benazir_Bhutto>
<Praise_or_endorse>Reuven_Rivlin,	<Government_(Pakistan)>
<Arrest_detain_or_charge_with_legal_action>Men_(South_Africa),	<Chevron>
<Cooperate_militarily>Army_National_Guard_(Lithuania),	<Dmitry_Anatolyevich_Medvedev>
<Sign_formal_agreement>Taiwan_Affairs_Office,	<China>
<Make_a_visit>Philippines,<Praise_or_endorse>Thailand,<Host_a_visit>Indigenous_People_(Bangladesh),	<Armed_Rebel_(Ukraine)>
<Make_pessimistic_comment>Iraq,	<Iran>
<Host_a_visit>Meng_Jianzhu,	<Efkan_Ala>
<Discuss_by_telephone>Police_(New_Zealand),	<Military_Personnel_-_Special_(Afghanistan)>
<Accuse>Qatar,	<Ministry_(Iran)>
<Reject>Government_(Argentina),	<Opposition_Supporter_(Venezuela)>
<Engage_in_negotiation>Other_Authorities_/_Officials_(El_Salvador),	<Indigenous_People_(India)>
<Make_a_visit>Afghanistan,<Consult>John_Kerry,	<United_Arab_Emirates>
<Abduct_hijack_or_take_hostage>Citizen_(Turkey),	<Military_Personnel_-_Special_(Nigeria)>
<Abduct_hijack_or_take_hostage>Citizen_(Turkey),	<Fernando_Henrique_Cardoso>
<Use_unconventional_violence>North_Atlantic_Treaty_Organization,<Abduct_hijack_or_take_hostage>Professor_(Afghanistan),	<Government_Official_(Russia)>
<fight_with_small_arms_and_light_weapons>Police_(Yemen),	<Police_(Australia)>
<Cooperate_militarily>Military_(Vietnam),	<Business_(Tonga)>
<Meet_at_a_'third'_location>Military_Personnel_(United_States),	<Iran>
<Use_conventional_military_force>Activist_(Algeria),	<Military_(Central_African_Republic)>
<Increase_military_alert_status>Iraq,	<Romania>
<Mobilize_or_increase_armed_forces>Thailand,<Use_unconventional_violence>Thaksin_Shinawatra,<Confiscate_property>Interim_Government_(Thailand),	<Head_of_Government_(Latvia)>
<Use_tactics_of_violent_repression>Protester_(Turkey),	<Combatant_(Turkey)>
<Make_a_visit>Iraq,	<Franklin_Drilon>
<Use_conventional_military_force>Citizen_(Nigeria),	<Militant_(Boko_Haram)>
<Accuse>Citizen_(Uganda),	<Business_(Bahrain)>
<Express_intent_to_meet_or_negotiate>Citizen_(North_Korea),	<Domestic_Affairs_(Kenya)>
<Make_optimistic_comment>Afghanistan,	<Media_(Romania)>
<Use_conventional_military_force>Boko_Haram,<Use_conventional_military_force>Militant_(Boko_Haram),	<Argentine_Naval_Prefecture>
<Use_conventional_military_force>Citizen_(Kenya),<fight_with_small_arms_and_light_weapons>Citizen_(Kenya),	<Employee_(Bosnia_and_Herzegovina)>
<Arrest_detain_or_charge_with_legal_action>Criminal_(Philippines),	<Abu_Sayyaf>
<Use_tactics_of_violent_repression>Mob_(Sri_Lanka),	<Defense_/_Security_Ministry_(China)>
<Threaten_with_repression>Protester_(Thailand),	<Malawi>
<Make_an_appeal_or_request>Abdel_Fattah_Al-Sisi,	<Jan_Kohout>
<Express_intent_to_meet_or_negotiate>Angola,	<Angola>
<Consult>François_Hollande,	<France>
<Make_optimistic_comment>Business_(Iran),	<Mehr_News_Agency>
<Praise_or_endorse>Student_(Liberia),	<Employee_(Liberia)>
<Rally_support_on_behalf_of>Nigerian_Navy,<Express_intent_to_cooperate>Citizen_(Nigeria),	<Other_Authorities_/_Officials_(Nigeria)>
<Rally_opposition_against>Presidential_Candidate_(Mauritania),	<Militia_(Kenya)>
<Make_optimistic_comment>Iran,<Express_intent_to_meet_or_negotiate>Iran,	<Iran>
<Criticize_or_denounce>Iran,	<China>
<Engage_in_symbolic_act>Foreign_Affairs_(Norway),	<Air_Force_(Iraq)>
<Use_conventional_military_force>Education_(Nigeria),	<Sheikh_Ali_Salman>
<Make_a_visit>Xi_Jinping,<Host_a_visit>Kyung-wha_Kang,<Praise_or_endorse>China,	<Police_(United_States)>
<Arrest_detain_or_charge_with_legal_action>National_United_Front_for_Democracy_Against_Dictatorship,	<Other_Authorities_/_Officials_(Nigeria)>
<Praise_or_endorse>Ministry_(Nigeria),	<Medical_Personnel_(Nigeria)>
<Threaten>North_Korea,	<Media_(Saudi_Arabia)>
<Use_conventional_military_force>Citizen_(Turkey),<Express_intent_to_cooperate>Republican_People's_Party,	<Main_Opposition_(Turkey)>
<Arrest_detain_or_charge_with_legal_action>Fishermen_(India),	<Student_(Tanzania)>
<Appeal_for_de-escalation_of_military_engagement>International_Association_Of_Democratic_Lawyers,	<Government_Official_(Afghanistan)>
<Praise_or_endorse>Alex_Badeh,	<Government_(South_Africa)>
<Arrest_detain_or_charge_with_legal_action>Tourist_(United_States),<Express_intent_to_meet_or_negotiate>Japan,<Make_an_appeal_or_request>South_Korea,<Reject>Japan,<Appeal_for_easing_of_economic_sanctions_boycott_or_embargo>South_Korea,<Express_intent_to_meet_or_negotiate>Iran,	<South_Korea>
<Increase_police_alert_status>Iraq,<Engage_in_diplomatic_cooperation>John_Kerry,<Express_intent_to_meet_or_negotiate>Legislature_(Iraq),<Consult>Foreign_Affairs_(United_States),<Consult>John_Kerry,<Make_an_appeal_or_request>Barack_Obama,	<Iraq>
<Make_a_visit>Morocco,	<Military_Personnel_-_Special_(Guinea)>
<Engage_in_diplomatic_cooperation>Citizen_(Nigeria),	<Abdullah_Abdullah>
<Criticize_or_denounce>Citizen_(Nigeria),	<Sule_Lamido>
<Make_an_appeal_or_request>Member_of_Parliament_(India),	<Revolutionary_Socialist_Party>
<Make_an_appeal_or_request>Government_(United_States),	<Police_(Egypt)>
<Consult>Vanguard,<Arrest_detain_or_charge_with_legal_action>Citizen_(Nigeria),<Make_an_appeal_or_request>Citizen_(Nigeria),	<Government_(Nigeria)>
<Provide_humanitarian_aid>Iraq,	<Hezbollah>
<Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)>Citizen_(South_Korea),	<Volvo>
<Reject_proposal_to_meet_discuss_or_negotiate>Guerrilla_(Revolutionary_Armed_Forces_of_Colombia),	<Medical_Personnel_(India)>
<Criticize_or_denounce>Japan,	<Japan>
<Accuse>Morgan_Tsvangirai,	<Military_(Russia)>
<Discuss_by_telephone>Medical_Personnel_(Taiwan),	<Japan>
<Engage_in_negotiation>Teodoro_Obiang_Nguema_Mbasogo,<Make_an_appeal_or_request>Police_(Rwanda),	<Associated_Press>
<Express_intent_to_meet_or_negotiate>China,	<AT&T>
<Reject>Police_(Australia),	<National_Liberation_Army>
<Consult>North_Atlantic_Treaty_Organization,	<Legislature_(Libya)>
<Arrest_detain_or_charge_with_legal_action>Chief_of_Staff_(Sandiganbayan),<Host_a_visit>USAID,<Arrest_detain_or_charge_with_legal_action>Abu_Sayyaf,<Reject>China,	<China>
<Arrest_detain_or_charge_with_legal_action>Women_(Australia),	<Sue-Ellen_Kovack>
<Make_an_appeal_or_request>Canada,	<Canadian_Armed_Forces>
<Provide_aid>Women_(Egypt),	<Agence_France-Presse>
<Arrest_detain_or_charge_with_legal_action>Men_(Indonesia),	<New_Zealand>
<Investigate>Binyamin_Ben-Eliezer,	<Republican_People's_Party>
<Arrest_detain_or_charge_with_legal_action>Businessperson_(Kenya),<Arrest_detain_or_charge_with_legal_action>Women_(Kenya),<Accuse>Attacker_(Al-Shabaab),<fight_with_small_arms_and_light_weapons>Citizen_(Kenya),<Arrest_detain_or_charge_with_legal_action>Citizen_(Kenya),	<Immigrants_(Ethiopia)>
<Investigate>Malaysia,<Arrest_detain_or_charge_with_legal_action>Men_(Malaysia),	<Malaysia>
<Arrest_detain_or_charge_with_legal_action>Criminal_(Slovakia),	<Ri_Su_Yong>
<fight_with_small_arms_and_light_weapons>Men_(South_Africa),	<Romania>
<Impose_blockade_restrict_movement>Sudan,	<Dmitry_Anatolyevich_Medvedev>
<Demonstrate_for_leadership_change>Head_of_Government_(Haiti),	<Daily_Monitor>
<Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)>Iran,	<Police_(Bulgaria)>
<Use_tactics_of_violent_repression>Activist_(Thailand),	<Insurgent_(Thailand)>
<Demand>Sergio_Massa,	<Pavel_Gubarev>
<Make_an_appeal_or_request>Citizen_(Australia),	<Police_(Australia)>
<Accuse>Citizen_(South_Korea),	<Treasury/Finance_Ministry_(Czech_Republic)>
<Demonstrate_or_rally>Police_(Indonesia),	<Ashraf_Ghani_Ahmadzai>
<Make_an_appeal_or_request>Government_(Pakistan),	<Guerrilla_(Revolutionary_Armed_Forces_of_Colombia)>
<Make_an_appeal_or_request>Secretary_of_State_for_the_Home_Department,	<Mustafa_Abu_Shagur>
<Express_intent_to_cooperate>Citizen_(India),	<Inspector_General_(Philippines)>
<Criticize_or_denounce>Member_of_the_Judiciary_(Libya),	<Raúl_Castro>
<Criticize_or_denounce>William_Ruto,	<Government_(Sudan)>
<Consult>François_Hollande,	<Austria_Press_Agency>
<Make_an_appeal_or_request>Government_(Nigeria),	<John_Kerry>
<Consult>Ministry_(Poland),	<Other_Authorities_/_Officials_(Egypt)>
<Express_intent_to_meet_or_negotiate>Morocco,	<Other_Authorities_/_Officials_(Zimbabwe)>
<Accuse>Nuri_al-Maliki,<Consult>Sergey_Viktorovich_Lavrov,	<Nicos_Anastasiades>
<Meet_at_a_'third'_location>East_African_Community,	<Military_Personnel_(Yemen)>
<Sign_formal_agreement>Mohammad_Javad_Zarif,	<UN_Security_Council>
<Consult>Meng_Jianzhu,	<Head_of_Government_(Germany)>
<Host_a_visit>Organisation_of_Islamic_Cooperation,	<Member_of_Parliament_(Ukraine)>
<Criticize_or_denounce>Barack_Obama,	<Liberals_(Canada)>
<Host_a_visit>Sergey_Viktorovich_Lavrov,<Host_a_visit>Pope_Francis,	<International_Monetary_Fund>
<Make_pessimistic_comment>John_Kerry,<Consult>John_Kerry,<Praise_or_endorse>Pavlo_Klimkin,<Express_intent_to_meet_or_negotiate>Serbia,	<ITAR_TASS>
<Consult>Xi_Jinping,<Express_intent_to_meet_or_negotiate>Hun_Sen,<Make_a_visit>China,	<Member_of_Parliament_(Bangladesh)>
<Make_a_visit>Western_Cape_High_Court,	<Air_France>
<Consult>China,<Engage_in_diplomatic_cooperation>Iran,	<China>
<Consult>China,<Make_an_appeal_or_request>China,<Consult>Envoy_(Japan),<Sign_formal_agreement>Canada,<Host_a_visit>Kim_Jong-Un,<Host_a_visit>Head_of_Government_(China),	<North_Korea>
<Discuss_by_telephone>Agence_France-Presse,	<Businessperson_(Turkey)>
<Consult>Envoy_(India),	<Insurgent_(Thailand)>
<Express_intent_to_cooperate>Citizen_(India),	<Employee_(India)>
<Make_a_visit>China,	<China>
<Consult>Kazakhstan,	<Turkish_Airlines>
<Praise_or_endorse>Ministry_(Malaysia),	<Japan>
<Occupy_territory>Iraq,	<UN_Security_Council>
<Use_unconventional_violence>Police_(Yemen),	<Nadine_Heredia>
<Use_unconventional_violence>Citizen_(Australia),	<Civic_Group_(Croatia)>
<Expel_or_deport_individuals>Immigrants_(Cambodia),<Express_intent_to_cooperate>Cambodia,	<Cambodia>
<fight_with_small_arms_and_light_weapons>Citizen_(India),	<Cristina_Fernández_de_Kirchner>
<Make_an_appeal_or_request>Farm_Worker_(Thailand),	<Mohammad_Javad_Zarif>
<Criticize_or_denounce>Nuri_al-Maliki,	<Armed_Gang_(Egypt)>
<Engage_in_negotiation>Iran,<Criticize_or_denounce>Abdullah_Abdullah,<Demand>Ethiopia,	<Sudan>
<Make_an_appeal_or_request>Citizen_(Kenya),	<National_Youth_Service>
<Consult>M.R._Sharma,<Rally_opposition_against>Citizen_(Kenya),<Reject>Al-Shabaab,<Engage_in_symbolic_act>Citizen_(Kenya),<Express_intent_to_cooperate>Citizen_(Kenya),	<William_Ruto>
