Q608600,P17,Q218,,
Q610602,P1087,2232,occurUntil,2014
Q61636,P1082,500,occurSince,2003
Q62008,P1082,2302,occurSince,1994
Q62175,P54,Q1422,occurSince,1987
Q62175,P17,Q203493,,
Q622942,P1087,2212,occurUntil,2009
Q623685,P1082,3715,occurUntil,2015
Q627186,P1087,2375,occurSince,2014
Q634474,P54,Q206585,occurSince,2001
Q634517,P1087,2248,occurUntil,2003
Q653218,P54,Q13391,occurSince,2010
Q660967,P54,Q746046,occurSince,2009
Q660967,P17,Q34266,,
Q664319,P1082,32,occurUntil,2013
Q672878,P1082,25,occurSince,2005
Q672878,P17,Q34266,,
Q679318,P54,Q51976,occurSince,2014
Q679699,P54,Q2310295,occurUntil,2003
Q680439,P1082,243,occurUntil,2007
Q685117,P1087,2518,occurSince,2013
Q700582,P54,Q659780,occurUntil,2007
Q705778,P1082,2377,occurSince,1971
Q715401,P1087,2345,occurSince,2006
Q717454,P54,Q849221,occurSince,1999
Q717454,P17,Q27306,,
Q718938,P54,Q1422177,occurSince,2003
Q718938,P17,Q133356 ,,
Q720005,P166,Q18844372,occurUntil,1983
Q720005,P17,Q7318,,
Q723829,P54,Q2277185,occurUntil,1993
Q723829,P54,Q19446,occurSince,2001
Q723829,P17,Q156111,,
Q724632,P54,Q9213751,occurUntil,2010
Q725279,P1087,2643,occurSince,2014
Q725629,P1087,2470,occurSince,2007
Q725629,P1087,2470,occurUntil,2005
Q727526,P1082,125,occurUntil,2001
Q727804,P1082,443,occurSince,1910
Q728075,P1087,2414,occurUntil,2014
Q728075,P1087,2435,occurSince,2010
Q730818,P1087,2454,occurUntil,2014
Q781994,P1082,69,occurSince,2014
Q787628,P54,Q389879,occurUntil,2008
Q788109,P1082,475,occurUntil,1910
Q789568,P1087,2616,occurSince,2007
Q807040,P1082,702,occurUntil,1890
Q81051,P1082,2527,occurUntil,2009
Q81051,P17,Q36,,
Q818111,P54,Q2701714,occurUntil,2007
Q83051,P1082,2596,occurSince,1973
Q84327,P108,Q153006,occurSince,1970
Q852474,P1082,246,occurUntil,1991
Q86709,P1087,2543,occurUntil,2011
Q874469,P54,Q318925,occurSince,2013
Q874522,P54,Q16559523,occurSince,2008
Q874522,P17,Q15180,,
Q882229,P1082,210,occurUntil,1995
Q891663,P1082,433,occurUntil,2009
Q893814,P54,Q2331381,occurUntil,1997
Q90489,P1087,2587,occurSince,2012
Q909379,P1082,102,occurSince,1921
Q911856,P1082,179,occurSince,1869
Q911856,P17,Q43287,,
Q921730,P1082,1057,occurUntil,1970
Q921730,P17,Q218,,
Q922946,P54,Q105844,occurSince,2000
Q922946,P17,Q219,,
Q924234,P1082,66,occurSince,2001
Q924234,P17,Q133356,,
Q926549,P54,Q639525,occurSince,2013
Q926677,P54,Q11492669,occurUntil,2005
Q926677,P17,Q186096,,
Q927149,P1082,107,occurSince,2007
Q927149,P17,Q156111,,
Q929370,P54,Q221525,occurSince,2006
Q929461,P1082,418,occurSince,2006
Q937480,P1087,2520,occurUntil,2007
Q941320,P54,Q33748,occurUntil,2005
Q947436,P1082,59,occurUntil,2013
Q950819,P54,Q784311,occurSince,2013
Q952098,P1087,2582,occurUntil,2004
Q952098,P1087,2615,occurUntil,2014
Q952098,P17,Q212,,
Q961565,P1082,557,occurSince,1869
Q968844,P1087,2639,occurUntil,2015
Q969892,P1087,2591,occurUntil,2013
Q969892,P1087,2591,occurUntil,2016
Q969892,P17,Q36,,
Q970977,P1082,1732,occurUntil,1921
Q971610,P1087,2342,occurUntil,2016
Q981325,P1087,2585,occurSince,2010
Q981325,P1087,2589,occurSince,2013
Q984505,P1082,286,occurUntil,2012
Q984505,P17,Q243610,,
Q99199,P1087,2332,occurSince,2004
Q99230,P1087,2485,occurUntil,2013
